sku;grouped_skus;attribute_set_code;type;product_websites;name;meta_title;meta_description;description;short_description;ed_model;categories;ed_brand;ed_type;ed_color;image;small_image;thumbnail
abington_500_90_150032006200;1029040;Default;grouped;base;Abington;Abington;Abington;Abington;Abington;Abington;Shop/Artificial Christmas trees & wreaths/Artificial Christmas trees/Christmas trees;Black Box Trees;to be determined;blue; 102904001.jpg; 102904001.jpg; 102904001.jpg
acub_1_80_120031006102;933242;Default;grouped;base;Acuba;Acuba;Acuba;Acuba;Acuba;Acuba;Shop/Artificial flowers & plants/Plants/Green plants;Mica Decorations;acuba;green; 93324201.jpg; 93324201.jpg; 93324201.jpg
adiantum_181_80_120031006102;1044528;Default;grouped;base;Adiantum;Adiantum;Adiantum;Adiantum;Adiantum;Adiantum;Shop/Artificial flowers & plants/Plants/Green plants;Mica Decorations;fern;green; 104452801.jpg; 104452801.jpg; 104452801.jpg
adiantum_500_80_120031006100;1040511;Default;grouped;base;Adiantum;Adiantum;Adiantum;Adiantum;Adiantum;Adiantum;Shop/Artificial flowers & plants/Plants/Hanging plants;Mica Decorations;to be determined;green; 104051101.jpg; 104051101.jpg; 104051101.jpg
adiantum_500_80_120031006102; 1040514, 1040515;Default;grouped;base;Adiantum;Adiantum;Adiantum;Adiantum;Adiantum;Adiantum;Shop/Artificial flowers & plants/Plants/Green plants;Mica Decorations;to be determined;green; 104051401.jpg; 104051401.jpg; 104051401.jpg
adir_194_122_110030306031; 138487, 138488;Default;grouped;base;Adira;Adira;Adira;Adira;Adira;Adira;Shop/Home accessories/Room accents/Frames & mirrors;Casa Vivante;photo frame;d.brown; 13848701.jpg; 13848701.jpg; 13848701.jpg
agav_176_80_120031006102;1026798;Default;grouped;base;Agave;Agave;Agave;Agave;Agave;Agave;Shop/Artificial flowers & plants/Plants/Green plants;Mica Decorations;succulents;green; 102679801.jpg; 102679801.jpg; 102679801.jpg
agav_176_80_120031006103; 1005651, 1011293, 1026435;Default;grouped;base;Agave;Agave;Agave;Agave;Agave;Agave;Shop/Artificial flowers & plants/Plants/Cacti & succulents;Mica Decorations;succulents;green; 100565101.jpg; 100565101.jpg; 100565101.jpg
agla_80_80_120031006102;1011248;Default;grouped;base;Aglaonema;Aglaonema;Aglaonema;Aglaonema;Aglaonema;Aglaonema;Shop/Artificial flowers & plants/Plants/Green plants;Mica Decorations;green plants;green; 101124801.jpg; 101124801.jpg; 101124801.jpg
agna_500_130_110030306031; 1044144, 1044145, 1044146, 1044147, 1044148;Default;grouped;base;Agna;Agna;Agna;Agna;Agna;Agna;Shop/Home accessories/Room accents/Frames & mirrors;Casa Vivante;to be determined;gold; 104414401.jpg; 104414401.jpg; 104414401.jpg
agosta_500_121_110030506052;1039741;Default;grouped;base;Agosta;Agosta;Agosta;Agosta;Agosta;Agosta;Shop/Home accessories/Small furniture/Tables;Casa Vivante;to be determined;l.brown; 103974101.jpg; 103974101.jpg; 103974101.jpg
aimi_500_13_110030606060;231301;Default;grouped;base;Aimi;Aimi;Aimi;Aimi;Aimi;Aimi;Shop/Home accessories/Organization/Storageboxes;Casa Vivante;to be determined;off white; 23130101.jpg; 23130101.jpg; 23130101.jpg
aimi_500_13_110030606062;231300;Default;grouped;base;Aimi;Aimi;Aimi;Aimi;Aimi;Aimi;Shop/Home accessories/Organization/Stationary;Casa Vivante;to be determined;off white; 23130001.jpg; 23130001.jpg; 23130001.jpg
alai_151_10_100030006007; 1041685, 1041691;Default;grouped;base;Alain;Alain;Alain;Alain;Alain;Alain;Shop/Pottery & glassware/Indoor pottery/Indoor pots displays & mixpallets;Mica Decorations;pot;white; 104168501.jpg; 104168501.jpg; 104168501.jpg
alai_151_123_100030006007; 1041680, 1041689;Default;grouped;base;Alain;Alain;Alain;Alain;Alain;Alain;Shop/Pottery & glassware/Indoor pottery/Indoor pots displays & mixpallets;Mica Decorations;pot;taupe; 104168001.jpg; 104168001.jpg; 104168001.jpg
alai_59_21_100030006004; 241959, 241960;Default;grouped;base;Alain;Alain;Alain;Alain;Alain;Alain;Shop/Pottery & glassware/Indoor pottery/Indoor bottles & jugs;Casa Vivante;bottle;l.grey; 24195901.jpg; 24195901.jpg; 24195901.jpg
alai_59_30_100030006004; 241955, 241956;Default;grouped;base;Alain;Alain;Alain;Alain;Alain;Alain;Shop/Pottery & glassware/Indoor pottery/Indoor bottles & jugs;Casa Vivante;bottle;black; 24195501.jpg; 24195501.jpg; 24195501.jpg
alanza_502_10_130031506153; 1044366, 1044369, 1044376;Default;grouped;base;Alanza;Alanza;Alanza;Alanza;Alanza;Alanza;Shop/Spring & outdoor decoration/Outdoor furniture/Outdoor furniture others;House of Seasons;side table;white; 104436601.jpg; 104436601.jpg; 104436601.jpg
albany_192_61_100030006003;1018974;Default;grouped;base;Albany;Albany;Albany;Albany;Albany;Albany;Shop/Pottery & glassware/Indoor pottery/Indoor trays;Casa Vivante;plate;l.yellow; 101897401.jpg; 101897401.jpg; 101897401.jpg
alford_500_80_150032006200; 1028812, 1028813, 1028814;Default;grouped;base;Alford;Alford;Alford;Alford;Alford;Alford;Shop/Artificial Christmas trees & wreaths/Artificial Christmas trees/Christmas trees;Black Box Trees;to be determined;green; 102881201.jpg; 102881201.jpg; 102881201.jpg
alli_500_10_120030906090;1040303;Default;grouped;base;Allium;Allium;Allium;Allium;Allium;Allium;Shop/Artificial flowers & plants/Flowers & bouquets/Stem flowers;Mica Decorations;to be determined;white; 104030301.jpg; 104030301.jpg; 104030301.jpg
alli_500_114_120030906090;1027309;Default;grouped;base;Allium;Allium;Allium;Allium;Allium;Allium;Shop/Artificial flowers & plants/Flowers & bouquets/Stem flowers;Mica Decorations;to be determined;mauve; 102730901.jpg; 102730901.jpg; 102730901.jpg
alli_500_20_120030906090;1040304;Default;grouped;base;Allium;Allium;Allium;Allium;Allium;Allium;Shop/Artificial flowers & plants/Flowers & bouquets/Stem flowers;Mica Decorations;to be determined;grey; 104030401.jpg; 104030401.jpg; 104030401.jpg
alli_500_30_120030906090;1040305;Default;grouped;base;Allium;Allium;Allium;Allium;Allium;Allium;Shop/Artificial flowers & plants/Flowers & bouquets/Stem flowers;Mica Decorations;to be determined;black; 104030501.jpg; 104030501.jpg; 104030501.jpg
alli_519_10_120030906090;913970;Default;grouped;base;Allium;Allium;Allium;Allium;Allium;Allium;Shop/Artificial flowers & plants/Flowers & bouquets/Stem flowers;Mica Decorations;others;white; 91397001.jpg; 91397001.jpg; 91397001.jpg
alli_519_110_120030906090;913968;Default;grouped;base;Allium;Allium;Allium;Allium;Allium;Allium;Shop/Artificial flowers & plants/Flowers & bouquets/Stem flowers;Mica Decorations;others;purple; 91396801.jpg; 91396801.jpg; 91396801.jpg
alli_519_113_120030906090;913969;Default;grouped;base;Allium;Allium;Allium;Allium;Allium;Allium;Shop/Artificial flowers & plants/Flowers & bouquets/Stem flowers;Mica Decorations;others;lilac; 91396901.jpg; 91396901.jpg; 91396901.jpg
alli_519_14_120030906090;1009032;Default;grouped;base;Allium;Allium;Allium;Allium;Allium;Allium;Shop/Artificial flowers & plants/Flowers & bouquets/Stem flowers;Mica Decorations;others;cream; 100903201.jpg; 100903201.jpg; 100903201.jpg
alma_151_21_100030006000; 1006389, 1006390, 1006391, 1006392, 1006393, 1006394, 1006396, 1006397, 1006398, 1006399, 1022548;Default;grouped;base;Alma;Alma;Alma;Alma;Alma;Alma;Shop/Pottery & glassware/Indoor pottery/Indoor pots;Mica Decorations;pot;l.grey; 100638901.jpg; 100638901.jpg; 100638901.jpg
alma_151_22_100030006000; 1006400, 1006401, 1006402, 1006403, 1006404, 1006405, 1006407, 1006408, 1006409, 1006410, 1022549;Default;grouped;base;Alma;Alma;Alma;Alma;Alma;Alma;Shop/Pottery & glassware/Indoor pottery/Indoor pots;Mica Decorations;pot;d.grey; 100640001.jpg; 100640001.jpg; 100640001.jpg
alma_151_54_100030006000; 1006412, 1006413, 1006414, 1006415;Default;grouped;base;Alma;Alma;Alma;Alma;Alma;Alma;Shop/Pottery & glassware/Indoor pottery/Indoor pots;Mica Decorations;pot;terra; 100641201.jpg; 100641201.jpg; 100641201.jpg
alma_798_21_100030006003;1006395;Default;grouped;base;Alma;Alma;Alma;Alma;Alma;Alma;Shop/Pottery & glassware/Indoor pottery/Indoor trays;Mica Decorations;tray;l.grey; 100639501.jpg; 100639501.jpg; 100639501.jpg
alma_798_22_100030006003;1006406;Default;grouped;base;Alma;Alma;Alma;Alma;Alma;Alma;Shop/Pottery & glassware/Indoor pottery/Indoor trays;Mica Decorations;tray;d.grey; 100640601.jpg; 100640601.jpg; 100640601.jpg
alma_798_54_100030006003;1006411;Default;grouped;base;Alma;Alma;Alma;Alma;Alma;Alma;Shop/Pottery & glassware/Indoor pottery/Indoor trays;Mica Decorations;tray;terra; 100641101.jpg; 100641101.jpg; 100641101.jpg
aloe_176_80_120031006100;1040422;Default;grouped;base;Aloë vera;Aloë vera;Aloë vera;Aloë vera;Aloë vera;Aloë vera;Shop/Artificial flowers & plants/Plants/Hanging plants;Mica Decorations;succulents;green; 104042201.jpg; 104042201.jpg; 104042201.jpg
aloe_176_80_120031006102; N30551;Default;grouped;base;Aloë vera;Aloë vera;Aloë vera;Aloë vera;Aloë vera;Aloë vera;Shop/Artificial flowers & plants/Plants/Green plants;Mica Decorations;succulents;green; N3055101.jpg; N3055101.jpg; N3055101.jpg
aloe_176_80_120031006103;930551;Default;grouped;base;Aloë vera;Aloë vera;Aloë vera;Aloë vera;Aloë vera;Aloë vera;Shop/Artificial flowers & plants/Plants/Cacti & succulents;Mica Decorations;succulents;green; 93055101.jpg; 93055101.jpg; 93055101.jpg
alpha_151_21_100030106011;1010181;Default;grouped;base;Alpha;Alpha;Alpha;Alpha;Alpha;Alpha;Shop/Pottery & glassware/Outdoor pottery/Outdoor lightweight pots;Mica Decorations;pot;l.grey; 101018101.jpg; 101018101.jpg; 101018101.jpg
alpha_151_22_100030106011;1010184;Default;grouped;base;Alpha;Alpha;Alpha;Alpha;Alpha;Alpha;Shop/Pottery & glassware/Outdoor pottery/Outdoor lightweight pots;Mica Decorations;pot;d.grey; 101018401.jpg; 101018401.jpg; 101018401.jpg
alta_500_120_110030506051;1044104;Default;grouped;base;Alta;Alta;Alta;Alta;Alta;Alta;Shop/Home accessories/Small furniture/Chairs;Mica Decorations;to be determined;brown; 104410401.jpg; 104410401.jpg; 104410401.jpg
alta_500_121_110030506051;1044105;Default;grouped;base;Alta;Alta;Alta;Alta;Alta;Alta;Shop/Home accessories/Small furniture/Chairs;Mica Decorations;to be determined;l.brown; 104410501.jpg; 104410501.jpg; 104410501.jpg
alta_500_80_110030506051;1044106;Default;grouped;base;Alta;Alta;Alta;Alta;Alta;Alta;Shop/Home accessories/Small furniture/Chairs;Mica Decorations;to be determined;green; 104410601.jpg; 104410601.jpg; 104410601.jpg
alte_500_121_110030606062;231233;Default;grouped;base;Altea;Altea;Altea;Altea;Altea;Altea;Shop/Home accessories/Organization/Stationary;Casa Vivante;to be determined;l.brown; 23123301.jpg; 23123301.jpg; 23123301.jpg
