sku;attribute_set_code;product_type;product_websites;name;meta_title;meta_description;description;short_description;categories;image;small_image;thumbnail;ed_brand;ed_type;ed_model;ed_essentials;price;length;width;height;diameter;weight;qty;min_sale_qty;ed_fmat;ed_fheig;ed_color;discount_percentage;config_size
1015896;Default;Simple;base;Bellwood x-mas tree green - h215xd122cm;Bellwood x-mas tree green - h215xd122cm;Bellwood x-mas tree green - h215xd122cm;Bellwood x-mas tree green TIPS 1878 - h215xd122cm;Bellwood x-mas tree green TIPS 1878 - h215xd122cm;Shop/Artificial Christmas trees & wreaths/Artificial Christmas trees/Christmas trees;/101589601.jpg;/101589601.jpg;/101589601.jpg;Black Box Trees;to be determined;Bellwood;No;0;NULL;NULL;215;122;0;0;3;pvc/pe;210 - 240 cm;green;0;H215.D122.
1015990;Default;Simple;base;Stapleton x-mas tree d. green - h185xd127cm;Stapleton x-mas tree d. green - h185xd127cm;Stapleton x-mas tree d. green - h185xd127cm;Stapleton x-mas tree d. green TIPS 660 - h185xd127cm;Stapleton x-mas tree d. green TIPS 660 - h185xd127cm;Shop/Artificial Christmas trees & wreaths/Artificial Christmas trees/Christmas trees;/101599001.jpg;/101599001.jpg;/101599001.jpg;Triumph Tree;to be determined;Stapleton;No;0;NULL;NULL;185;127;0;0;1;hardneedle;170 - 210 cm;d.green;0;H185.D127.
1027237;Default;Simple;base;Sanserveria green in pot d12,5cm - h78xd30cm;Sanserveria green in pot d12,5cm - h78xd30cm;Sanserveria green in pot d12,5cm - h78xd30cm;Sanserveria green in pot d12,5cm - h78xd30cm;Sanserveria green in pot d12,5cm - h78xd30cm;Shop/Artificial flowers & plants/Plants/Green plants;/102723701.jpg;/102723701.jpg;/102723701.jpg;Mica Decorations;succulents;Sanserveria;No;0;NULL;NULL;78;30;0;0;2;polyester;60 - 90 cm;green;0;H78.D30.
1028043;Default;Simple;base;Coleus green in pot stan grey d15,5cm - h68cm;Coleus green in pot stan grey d15,5cm - h68cm;Coleus green in pot stan grey d15,5cm - h68cm;Coleus green in pot stan grey d15,5cm - h68cm;Coleus green in pot stan grey d15,5cm - h68cm;Shop/Artificial flowers & plants/Plants/Green plants;/102804301.jpg;/102804301.jpg;/102804301.jpg;Mica Decorations;green plants small leaves;Coleus;No;0;NULL;NULL;68;NULL;0;12;4;polyester;60 - 90 cm;green;0;H68
1028814;Default;Simple;base;Alford x-mas tree green - h185xd91cm;Alford x-mas tree green - h185xd91cm;Alford x-mas tree green - h185xd91cm;Alford x-mas tree green TIPS 380 - h185xd91cm;Alford x-mas tree green TIPS 380 - h185xd91cm;Shop/Artificial Christmas trees & wreaths/Artificial Christmas trees/Christmas trees;/102881401.jpg;/102881401.jpg;/102881401.jpg;Black Box Trees;to be determined;Alford;No;0;NULL;NULL;185;91;0;5;4;pvc;170 - 210 cm;green;0;H185.D91.
1028981;Default;Simple;base;Camden x-mas tree slim green - h185xd94cm;Camden x-mas tree slim green - h185xd94cm;Camden x-mas tree slim green - h185xd94cm;Camden x-mas tree slim green TIPS 423 - h185xd94cm;Camden x-mas tree slim green TIPS 423 - h185xd94cm;Shop/Artificial Christmas trees & wreaths/Artificial Christmas trees/Christmas trees;/102898101.jpg;/102898101.jpg;/102898101.jpg;Triumph Tree;to be determined;Camden;No;0;NULL;NULL;185;94;0;0;4;pvc/hardneedle;170 - 210 cm;green;0;H185.D94.
1028997;Default;Simple;base;Edmond x-mas tree green - h185xd86cm;Edmond x-mas tree green - h185xd86cm;Edmond x-mas tree green - h185xd86cm;Edmond x-mas tree green TIPS 543 - h185xd86cm;Edmond x-mas tree green TIPS 543 - h185xd86cm;Shop/Artificial Christmas trees & wreaths/Artificial Christmas trees/Christmas trees;/102899701.jpg;/102899701.jpg;/102899701.jpg;Black Box Trees;to be determined;Edmond;No;0;NULL;NULL;185;86;0;0;4;pvc/hardneedle;170 - 210 cm;green;0;H185.D86.
379265;Default;Simple;base;Nebreska x-mas tree green - h155xd102cm;Nebreska x-mas tree green - h155xd102cm;Nebreska x-mas tree green - h155xd102cm;Nebreska x-mas tree green TIPS 660 - h155xd102cm;Nebreska x-mas tree green TIPS 660 - h155xd102cm;Shop/Artificial Christmas trees & wreaths/Artificial Christmas trees/Christmas trees;/37926501.jpg;/37926501.jpg;/37926501.jpg;Black Box Trees;to be determined;Nebraska;No;0;NULL;NULL;155;102;0;0;1;pvc/pe;130 - 170 cm;green;0;H155.D102.
379276;Default;Simple;base;Nebreska x-mas tree led green - h185x117cm;Nebreska x-mas tree led green - h185x117cm;Nebreska x-mas tree led green - h185x117cm;Nebreska x-mas tree led green 216L TIPS 1092 - h185xd117cm;Nebreska x-mas tree led green 216L TIPS 1092 - h185xd117cm;Shop/Artificial Christmas trees & wreaths/Artificial Christmas trees/Christmas trees;/37927601.jpg;/37927601.jpg;/37927601.jpg;Black Box Trees;to be determined;Nebraska;No;0;NULL;NULL;185;117;0;0;1;pvc/pe;170 - 210 cm;green;0;H185.D117.
379495;Default;Simple;base;Longford x-mas tree green - h155xd99cm;Longford x-mas tree green - h155xd99cm;Longford x-mas tree green - h155xd99cm;Longford x-mas tree green TIPS 909 - h155xd99cm;Longford x-mas tree green TIPS 909 - h155xd99cm;Shop/Artificial Christmas trees & wreaths/Artificial Christmas trees/Christmas trees;/37949501.jpg;/37949501.jpg;/37949501.jpg;Black Box Trees;to be determined;Longford;No;0;NULL;NULL;155;99;0;0;1;pvc/pe;130 - 170 cm;green;0;H155.D99.
