sku;ed_model;ed_color;ed_size;;
145123;Stan;grey;H15.5.D17.5.;;
145124;Stan;grey;H17.D20.;;
145125;Stan;grey;H19.D22.;;
144966;Stan;grey;H22.D26.;;
144967;Stan;grey;H25.D31.5.;;
145126;Stan;grey;H21.D24.;;
1041740;Chris;terra;H39.D45.;;
145990;Chris;grey;H25.D21.;;
145991;Chris;grey;H31.5.D26.;;
145992;Chris;grey;H36.D31.;;
149804;Chris;grey;H46.D38.;;
149805;Chris;grey;H51.D44.;;
149806;Chris;grey;H60.D50.;;
145989;Chris;grey;H21.D17.;;
145141;Stan;grey;H1.6.D11.;;
145142;Stan;grey;H2.D14.;;
145143;Stan;grey;H2.4.D17.;;
144968;Stan;grey;H3.D22.;;
144969;Stan;grey;H3.D26.;;
1041748;Colin;grey;H36.D32.;;
1011022;Kai;terra;H11.5.D26.;;
1011023;Kai;terra;H13.5.D32.;;
1011021;Kai;terra;H9.5.D22.;;
1011024;Kai;grey;H9.5.D22.;;
1011025;Kai;grey;H11.5.D26.;;
1011026;Kai;grey;H13.5.D32.;;
1011856;Stan;terra;H2.D2.4.;;
1011858;Stan;terra;H5.D5.5.;;
1010987;Stan;terra;H6.D7.;;
1010988;Stan;terra;H7.5.D9.;;
242483;Stan;terra;H3.5.D3.1.;;
242484;Stan;terra;H4.D5.;;
1041762;Stan;terra;H13.5.D15.5.;;
1041763;Stan;terra;H15.5.D17.5.;;
1041764;Stan;terra;H17.D20.;;
1041765;Stan;terra;H19.D22.;;
1041766;Stan;terra;H21.D24.;;
1041770;Stan;antique;H9.5.D11.5.;;
1041771;Stan;antique;H11.5.D13.5.;;
1041772;Stan;antique;H13.5.D15.5.;;
1041773;Stan;antique;H15.5.D17.5.;;
1041774;Stan;antique;H17.D20.;;
1041775;Stan;antique;H19.D22.;;
1041776;Stan;antique;H21.D24.;;
1041777;Stan;antique;H22.D26.;;
1041778;Stan;antique;H25.D31.5.;;
1041780;Stan;grey;H9.5.D11.5.;;
1041781;Stan;grey;H11.5.D13.5.;;
1041782;Stan;grey;H13.5.D15.5.;;
1041783;Stan;grey;H15.5.D17.5.;;
1041784;Stan;grey;H17.D20.;;
1041785;Stan;grey;H19.D22.;;
1041786;Stan;grey;H21.D24.;;
1041787;Stan;grey;H22.D26.;;
1041788;Stan;grey;H25.D31.5.;;
1041732;Aurel;grey;L16.W39.H12;;
1041733;Aurel;terra;L16.W39.H12;;
1041738;Chris;terra;H26.D31.;;
1041739;Chris;terra;H37.D31.;;
1024317;Gido;terra;H15.D20.;;
1041724;Ashton;grey;H7.D18.;;
1041725;Ashton;grey;H9.D22.;;
1041749;Aurel;grey;L16.W39.H12;;
1041750;Aurel;antique;L16.W39.H12;;
1011095;Colin;terra;H22.D24.;;
1011096;Colin;terra;H24.D28.;;
1011097;Colin;grey;H22.D24.;;
1011098;Colin;grey;H24.D28.;;
1024315;Petry;terra;H24.D32.;;
379064-01;Brixen;green;H120.D76.;;
379065-01;Brixen;green;H155.D91.;;
379066-01;Brixen;green;H185.D115.;;
379067-01;Brixen;green;H215.D127.;;
379074-01;Brixen;green;H120.D76.;;
379075-01;Brixen;green;H155.D91.;;
379076-01;Brixen;green;H185.D115.;;
379077-01;Brixen;green;H215.D127.;;
382754-01;Zermatt;green;H120.D92.;;
382755-01;Zermatt;green;H155.D107.;;
382756-01;Zermatt;green;H185.D127.;;
382757-01;Zermatt;green;H215.D142.;;
382774-01;Zermatt;green;H120.D92.;;
382775-01;Zermatt;green;H155.D107.;;
382776-01;Zermatt;green;H185.D127.;;
382777-01;Zermatt;green;H215.D142.;;
383075-01;Davos;green;H155.D102.;;
383076-01;Davos;green;H185.D114.;;
383077-01;Davos;green;H215.D132.;;
383095-01;Davos;green;H155.D102.;;
383096-01;Davos;green;H185.D114.;;
383097-01;Davos;green;H215.D132.;;
495888-01;Garland;green;L180;;
495976-01;Garland;green;L180;;
495975-01;;;;;
;;;;;
;180;L180;;;
400364-01;Garland;green;L270;;
400046-01;;;;;
;No;0;Seasonal wreaths & garlands;;
400045-01;Garland;green;L270;;
400360-01;;;;;
;No;0;Seasonal pine & berries;;
292600-01;Spray;green;L24.W10.H3;;
495970-01;;;;;
;;;;;
;50;L50.W18.H3;;;
495972-01;Spray;green;L63.W20.H3;;
495992-01;Wreath;green;H10;;
495998-01;Wreath;green;H8.D24.;;
495999-01;;;;;
;No;0;Seasonal wreaths & garlands;;
495997-01;Wreath;green;D45.;;
387245-01;;;;;
;No;0;Christmas tree burlap/potted;;
387246-01;;;;;
;No;0;Christmas tree burlap/potted;;
1002286;;green;H75.D43.;;
1002287;;green;H90.D49.;;
1013496;;d.grey;L115.W57.H192;;
158138-01;;d.grey;H90.D24.;;
158139-01;;d.grey;H120.D26.;;
158140-01;;d.grey;H150.D29.;;
158142-01;;d.grey;L17.W17.H90;;
158143-01;;d.grey;L18.5.W18.5.H120;;
158144-01;;d.grey;L21.W21.H150;;
1013471;;black;L73.W57.H192;;
1011706;;black;L34.W15.H150;;
1011705;;black;L34.W15.H180;;
1013686;;d.grey;L77.W57.H191;;
1010866;;d.grey;L38.W18.H179;;
1011697;;black;L77.W57.H192;;
1011698;;black;W20.H120;;
1011699;;black;W25.H150;;
1011700;;black;W25.H180;;
1011701;;black;W21.H120;;
1011702;;black;W29.H150;;
1011703;;black;W29.H180;;
1011709-01;;d.grey;L106.W36.H240;;
1011710-01;;d.grey;L120.W36.H240;;
1015814-01;Glendon;green;D35.;;
1015815-01;Glendon;green;D45.;;
1015816-01;Glendon;green;D60.;;
1022941;;green;;;
1028280;;NULL;;;
1027459;Miro;l.grey;L21.W21.H21;;
