sku;grouped_skus;ed_search;attribute_set_code;type;product_websites;name;meta_title;meta_description;description;short_description;ed_model;categories;ed_brand;ed_type;ed_color;image;small_image;thumbnail
copa_500_160_10003000;119247;119247;default;grouped;base;copa;copa;copa;copa;copa;copa;shop/pottery & glassware/indoor pottery;mica decorations;to be determined;copper; 11924701.jpg; 11924701.jpg; 11924701.jpg
cora_500_80_11003080;1008892;1008892;default;grouped;base;calidora;calidora;calidora;calidora;calidora;calidora;shop/home accessories/home textiles;mica decorations;to be determined;green; 100889201.jpg; 100889201.jpg; 100889201.jpg
cord_500_10_10003000; 1004239, 1004240; 1004239, 1004240;default;grouped;base;corda;corda;corda;corda;corda;corda;shop/pottery & glassware/indoor pottery;casa vivante;to be determined;white; 100423901.jpg; 100423901.jpg; 100423901.jpg
cord_500_21_10003000;1012478;1012478;default;grouped;base;corda;corda;corda;corda;corda;corda;shop/pottery & glassware/indoor pottery;casa vivante;to be determined;l.grey; 101247801.jpg; 101247801.jpg; 101247801.jpg
cord_500_81_10003000; 1004241, 1004242; 1004241, 1004242;default;grouped;base;corda;corda;corda;corda;corda;corda;shop/pottery & glassware/indoor pottery;casa vivante;to be determined;l.green; 100424101.jpg; 100424101.jpg; 100424101.jpg
corfu_500_120_10003000; 1039691, 1039694; 1039691, 1039694;default;grouped;base;corfu;corfu;corfu;corfu;corfu;corfu;shop/pottery & glassware/indoor pottery;mica decorations;to be determined;brown; 103969101.jpg; 103969101.jpg; 103969101.jpg
corl_32_80_12003100;966056;966056;default;grouped;base;cordyline;cordyline;cordyline;cordyline;cordyline;cordyline;shop/artificial flowers & plants/plants;mica decorations;cordyline;green; 96605601.jpg; 96605601.jpg; 96605601.jpg
coruna_500_30_11003030; 1040867, 1040869; 1040867, 1040869;default;grouped;base;coruna;coruna;coruna;coruna;coruna;coruna;shop/home accessories/room accents;mica decorations;to be determined;black; 104086701.jpg; 104086701.jpg; 104086701.jpg
cose_500_11_11003060;137561;137561;default;grouped;base;cosenza;cosenza;cosenza;cosenza;cosenza;cosenza;shop/home accessories/organization;casa vivante;to be determined;white wash; 13756101.jpg; 13756101.jpg; 13756101.jpg
cot_500_190_11003030; 137692, 137693, 137695; 137692, 137693, 137695;default;grouped;base;cotton fields;cotton fields;cotton fields;cotton fields;cotton fields;cotton fields;shop/home accessories/room accents;casa vivante;to be determined;mixed colours; 13769201.jpg; 13769201.jpg; 13769201.jpg
cowparsnip_519_10_12003090; 1026532, 1026538, 1026541; 1026532, 1026538, 1026541;default;grouped;base;cow parsnip;cow parsnip;cow parsnip;cow parsnip;cow parsnip;cow parsnip;shop/artificial flowers & plants/flowers & bouquets;mica decorations;others;white; 102653201.jpg; 102653201.jpg; 102653201.jpg
cowparsnip_519_100_12003090; 1026531, 1026540; 1026531, 1026540;default;grouped;base;cow parsnip;cow parsnip;cow parsnip;cow parsnip;cow parsnip;cow parsnip;shop/artificial flowers & plants/flowers & bouquets;mica decorations;others;pink; 102653101.jpg; 102653101.jpg; 102653101.jpg
cpin_300_10_15003200;1022910;1022910;default;grouped;base;camden;camden;camden;camden;camden;camden;shop/artificial christmas trees & wreaths/artificial christmas trees;triumph tree;norm francais;white; 102291001.jpg; 102291001.jpg; 102291001.jpg
cpin_300_80_15003200; 391656, 391657; 391656, 391657;default;grouped;base;camden;camden;camden;camden;camden;camden;shop/artificial christmas trees & wreaths/artificial christmas trees;triumph tree;norm francais;green; 39165601.jpg; 39165601.jpg; 39165601.jpg
cpin_500_10_15003200; 1016014, 1016015, 1016016, 1016017, 1016020; 1016014, 1016015, 1016016, 1016017, 1016020;default;grouped;base;camden;camden;camden;camden;camden;camden;shop/artificial christmas trees & wreaths/artificial christmas trees;triumph tree;to be determined;white; 101601401.jpg; 101601401.jpg; 101601401.jpg
cpin_500_80_15003200; 1013526, 1016046, 1028979, 1036929, 379845, 379846, 379847; 1013526, 1016046, 1028979, 1036929, 379845, 379846, 379847;default;grouped;base;camden;camden;camden;camden;camden;camden;shop/artificial christmas trees & wreaths/artificial christmas trees;triumph tree;to be determined;green; 101352601.jpg; 101352601.jpg; 101352601.jpg
cpin_500_80_15003210; 1016041, 1016042, 1016043, 1028977; 1016041, 1016042, 1016043, 1028977;default;grouped;base;camden;camden;camden;camden;camden;camden;shop/artificial christmas trees & wreaths/artificial christmas wreaths & garlands;triumph tree;to be determined;green; 101604101.jpg; 101604101.jpg; 101604101.jpg
cras_176_80_12003090;1021009;1021009;default;grouped;base;crassula;crassula;crassula;crassula;crassula;crassula;shop/artificial flowers & plants/flowers & bouquets;mica decorations;succulents;green; 102100901.jpg; 102100901.jpg; 102100901.jpg
cras_176_80_12003100;930727;930727;default;grouped;base;crassula;crassula;crassula;crassula;crassula;crassula;shop/artificial flowers & plants/plants;mica decorations;succulents;green; 93072701.jpg; 93072701.jpg; 93072701.jpg
cras_81_80_12003100;1021018;1021018;default;grouped;base;crassula;crassula;crassula;crassula;crassula;crassula;shop/artificial flowers & plants/plants;mica decorations;green plants small leaves;green; 102101801.jpg; 102101801.jpg; 102101801.jpg
creston_500_215_15003200; 1015797, 1015798, 1015799; 1015797, 1015798, 1015799;default;grouped;base;creston;creston;creston;creston;creston;creston;shop/artificial christmas trees & wreaths/artificial christmas trees;black box trees;to be determined;frosted; 101579701.jpg; 101579701.jpg; 101579701.jpg
creston_500_215_15003210; 1015792, 1015793, 1015794, 1015795, 1015796; 1015792, 1015793, 1015794, 1015795, 1015796;default;grouped;base;creston;creston;creston;creston;creston;creston;shop/artificial christmas trees & wreaths/artificial christmas wreaths & garlands;black box trees;to be determined;frosted; 101579201.jpg; 101579201.jpg; 101579201.jpg
crot_33_80_12003100; 1005470, 1028041, 933272; 1005470, 1028041, 933272;default;grouped;base;croton;croton;croton;croton;croton;croton;shop/artificial flowers & plants/plants;mica decorations;croton;green; 100547001.jpg; 100547001.jpg; 100547001.jpg
crto_500_122_11003030; 231294, 231295, 231296; 231294, 231295, 231296;default;grouped;base;cristo;cristo;cristo;cristo;cristo;cristo;shop/home accessories/room accents;casa vivante;to be determined;d.brown; 23129401.jpg; 23129401.jpg; 23129401.jpg
ctnl_500_80_12003100;930726;930726;default;grouped;base;citronella;citronella;citronella;citronella;citronella;citronella;shop/artificial flowers & plants/plants;mica decorations;to be determined;green; 93072601.jpg; 93072601.jpg; 93072601.jpg
ctnl_80_40_12003100;953671;953671;default;grouped;base;citronella;citronella;citronella;citronella;citronella;citronella;shop/artificial flowers & plants/plants;mica decorations;green plants;red; 95367101.jpg; 95367101.jpg; 95367101.jpg
ctnl_80_80_12003100;953660;953660;default;grouped;base;citronella;citronella;citronella;citronella;citronella;citronella;shop/artificial flowers & plants/plants;mica decorations;green plants;green; 95366001.jpg; 95366001.jpg; 95366001.jpg
cyca_138_80_12003100; 1044529, 1044530; 1044529, 1044530;default;grouped;base;cycas palm;cycas palm;cycas palm;cycas palm;cycas palm;cycas palm;shop/artificial flowers & plants/plants;mica decorations;palm;green; 104452901.jpg; 104452901.jpg; 104452901.jpg
cycl_17_100_12003100;947201;947201;default;grouped;base;cyclamen;cyclamen;cyclamen;cyclamen;cyclamen;cyclamen;shop/artificial flowers & plants/plants;mica decorations;blooming plants;pink; 94720101.jpg; 94720101.jpg; 94720101.jpg
cycl_35_10_12003100;947222;947222;default;grouped;base;cyclamen;cyclamen;cyclamen;cyclamen;cyclamen;cyclamen;shop/artificial flowers & plants/plants;mica decorations;cyclamen;white; 94722201.jpg; 94722201.jpg; 94722201.jpg
cycl_35_100_12003100; 940065, 950514; 940065, 950514;default;grouped;base;cyclamen;cyclamen;cyclamen;cyclamen;cyclamen;cyclamen;shop/artificial flowers & plants/plants;mica decorations;cyclamen;pink; 94006501.jpg; 94006501.jpg; 94006501.jpg
cycl_35_101_12003100; 947212, 947228; 947212, 947228;default;grouped;base;cyclamen;cyclamen;cyclamen;cyclamen;cyclamen;cyclamen;shop/artificial flowers & plants/plants;mica decorations;cyclamen;l.pink; 94721201.jpg; 94721201.jpg; 94721201.jpg
cycl_35_102_12003100; 947211, 947229; 947211, 947229;default;grouped;base;cyclamen;cyclamen;cyclamen;cyclamen;cyclamen;cyclamen;shop/artificial flowers & plants/plants;mica decorations;cyclamen;d.pink; 94721101.jpg; 94721101.jpg; 94721101.jpg
cycl_35_40_12003100; 947226, 949294; 947226, 949294;default;grouped;base;cyclamen;cyclamen;cyclamen;cyclamen;cyclamen;cyclamen;shop/artificial flowers & plants/plants;mica decorations;cyclamen;red; 94722601.jpg; 94722601.jpg; 94722601.jpg
cycl_415_190_12003100;910001;910001;default;grouped;base;cyclamen;cyclamen;cyclamen;cyclamen;cyclamen;cyclamen;shop/artificial flowers & plants/plants;mica decorations;displays;mixed colours; 91000101.jpg; 91000101.jpg; 91000101.jpg
cycl_500_10_12003100;910052;910052;default;grouped;base;cyclamen;cyclamen;cyclamen;cyclamen;cyclamen;cyclamen;shop/artificial flowers & plants/plants;mica decorations;to be determined;white; 91005201.jpg; 91005201.jpg; 91005201.jpg
cynthia_500_40_10003000; 1024257, 1024258; 1024257, 1024258;default;grouped;base;cynthia;cynthia;cynthia;cynthia;cynthia;cynthia;shop/pottery & glassware/indoor pottery;casa vivante;to be determined;red; 102425701.jpg; 102425701.jpg; 102425701.jpg
cypr_39_80_12003100;953666;953666;default;grouped;base;cypress;cypress;cypress;cypress;cypress;cypress;shop/artificial flowers & plants/plants;mica decorations;cyperus;green; 95366601.jpg; 95366601.jpg; 95366601.jpg
da_163_120_11003030;243213;243213;default;grouped;base;dai;dai;dai;dai;dai;dai;shop/home accessories/room accents;casa vivante;bowl;brown; 24321301.jpg; 24321301.jpg; 24321301.jpg
da_163_121_11003030;243210;243210;default;grouped;base;dai;dai;dai;dai;dai;dai;shop/home accessories/room accents;casa vivante;bowl;l.brown; 24321001.jpg; 24321001.jpg; 24321001.jpg
da_500_120_10003000;243214;243214;default;grouped;base;dai;dai;dai;dai;dai;dai;shop/pottery & glassware/indoor pottery;casa vivante;to be determined;brown; 24321401.jpg; 24321401.jpg; 24321401.jpg
dais_130_30_10003010; 242406, 242471; 242406, 242471;default;grouped;base;daisy;daisy;daisy;daisy;daisy;daisy;shop/pottery & glassware/outdoor pottery;mica decorations;wall hanger;black; 24240601.jpg; 24240601.jpg; 24240601.jpg
dais_151_20_10003010;1011738;1011738;default;grouped;base;daisy;daisy;daisy;daisy;daisy;daisy;shop/pottery & glassware/outdoor pottery;mica decorations;pot;grey; 101173801.jpg; 101173801.jpg; 101173801.jpg
dais_151_30_10003010; 242405, 242409, 242470, 242472; 242405, 242409, 242470, 242472;default;grouped;base;daisy;daisy;daisy;daisy;daisy;daisy;shop/pottery & glassware/outdoor pottery;mica decorations;pot;black; 24240501.jpg; 24240501.jpg; 24240501.jpg
dais_151_54_10003010; 1011741, 1011742; 1011741, 1011742;default;grouped;base;daisy;daisy;daisy;daisy;daisy;daisy;shop/pottery & glassware/outdoor pottery;mica decorations;pot;terra; 101174101.jpg; 101174101.jpg; 101174101.jpg
daki_500_10_11003050;1003202;1003202;default;grouped;base;dakin;dakin;dakin;dakin;dakin;dakin;shop/home accessories/small furniture;mica decorations;to be determined;white; 100320201.jpg; 100320201.jpg; 100320201.jpg
daki_500_30_11003050;1003203;1003203;default;grouped;base;dakin;dakin;dakin;dakin;dakin;dakin;shop/home accessories/small furniture;mica decorations;to be determined;black; 100320301.jpg; 100320301.jpg; 100320301.jpg
dali_163_180_10003020; 147500, 147501; 147500, 147501;default;grouped;base;dalio;dalio;dalio;dalio;dalio;dalio;shop/pottery & glassware/glassware;mica decorations;bowl;transparent; 14750001.jpg; 14750001.jpg; 14750001.jpg
dali_180_180_10003020; 047654, 047655, 047656; 047654, 047655, 047656;default;grouped;base;dalio;dalio;dalio;dalio;dalio;dalio;shop/pottery & glassware/glassware;mica decorations;vase;transparent; 04765401.jpg; 04765401.jpg; 04765401.jpg
dami_180_180_10003020;241192;241192;default;grouped;base;damian;damian;damian;damian;damian;damian;shop/pottery & glassware/glassware;mica decorations;vase;transparent; 24119201.jpg; 24119201.jpg; 24119201.jpg
dand_500_120_12003100;1016253;1016253;default;grouped;base;dandelion;dandelion;dandelion;dandelion;dandelion;dandelion;shop/artificial flowers & plants/plants;mica decorations;to be determined;brown; 101625301.jpg; 101625301.jpg; 101625301.jpg
dand_519_80_12003090;1005745;1005745;default;grouped;base;dandelion;dandelion;dandelion;dandelion;dandelion;dandelion;shop/artificial flowers & plants/flowers & bouquets;casa vivante;others;green; 100574501.jpg; 100574501.jpg; 100574501.jpg
dand_75_80_12003100; 1016156, 1016164, 1016198, 1016199; 1016156, 1016164, 1016198, 1016199;default;grouped;base;dandelion;dandelion;dandelion;dandelion;dandelion;dandelion;shop/artificial flowers & plants/plants;mica decorations;grass;green; 101615601.jpg; 101615601.jpg; 101615601.jpg
datsu_500_160_11003030; 1038966, 1038968, 1038970; 1038966, 1038968, 1038970;default;grouped;base;datsu;datsu;datsu;datsu;datsu;datsu;shop/home accessories/room accents;mica decorations;to be determined;copper; 103896601.jpg; 103896601.jpg; 103896601.jpg
datsu_500_80_11003030; 1038969, 1038971; 1038969, 1038971;default;grouped;base;datsu;datsu;datsu;datsu;datsu;datsu;shop/home accessories/room accents;mica decorations;to be determined;green; 103896901.jpg; 103896901.jpg; 103896901.jpg
dauc_500_20_12003090;1030218;1030218;default;grouped;base;daucus carota;daucus carota;daucus carota;daucus carota;daucus carota;daucus carota;shop/artificial flowers & plants/flowers & bouquets;mica decorations;to be determined;grey; 103021801.jpg; 103021801.jpg; 103021801.jpg
dauc_500_40_12003090; 1030219, 1040529; 1030219, 1040529;default;grouped;base;daucus carota;daucus carota;daucus carota;daucus carota;daucus carota;daucus carota;shop/artificial flowers & plants/flowers & bouquets;mica decorations;to be determined;red; 103021901.jpg; 103021901.jpg; 103021901.jpg
dauc_500_60_12003090;1026779;1026779;default;grouped;base;daucus carota;daucus carota;daucus carota;daucus carota;daucus carota;daucus carota;shop/artificial flowers & plants/flowers & bouquets;mica decorations;to be determined;yellow; 102677901.jpg; 102677901.jpg; 102677901.jpg
davn_180_10_10003020; 124529, 124530; 124529, 124530;default;grouped;base;davina;davina;davina;davina;davina;davina;shop/pottery & glassware/glassware;casa vivante;vase;white; 12452901.jpg; 12452901.jpg; 12452901.jpg
davn_180_93_10003020;224004;224004;default;grouped;base;davina;davina;davina;davina;davina;davina;shop/pottery & glassware/glassware;casa vivante;vase;turquoise; 22400401.jpg; 22400401.jpg; 22400401.jpg
davn_186_10_11003030; 116258, 116262; 116258, 116262;default;grouped;base;davina;davina;davina;davina;davina;davina;shop/home accessories/room accents;casa vivante;wax holder;white; 11625801.jpg; 11625801.jpg; 11625801.jpg
dax_151_70_10003000; 1027698, 1027699, 1027700; 1027698, 1027699, 1027700;default;grouped;base;dax;dax;dax;dax;dax;dax;shop/pottery & glassware/indoor pottery;mica decorations;pot;beige; 102769801.jpg; 102769801.jpg; 102769801.jpg
dax_163_70_10003000; 1007783, 1007784; 1007783, 1007784;default;grouped;base;dax;dax;dax;dax;dax;dax;shop/pottery & glassware/indoor pottery;mica decorations;bowl;beige; 100778301.jpg; 100778301.jpg; 100778301.jpg
dax_798_70_10003000; 1007777, 1007777-01, 1007778, 1007778-01, 1007779, 1007780; 1007777, 1007777-01, 1007778, 1007778-01, 1007779, 1007780;default;grouped;base;dax;dax;dax;dax;dax;dax;shop/pottery & glassware/indoor pottery;mica decorations;tray;beige; 100777701.jpg; 100777701.jpg; 100777701.jpg
dbom_500_181_12003105; 1030066, 1030067; 1030066, 1030067;default;grouped;base;pine tree;pine tree;pine tree;pine tree;pine tree;pine tree;shop/artificial flowers & plants/seasonal flowers & plants;house of seasons;to be determined;frosted; 103006601.jpg; 103006601.jpg; 103006601.jpg
dbom_500_211_12003105; 1030061, 1030062, 1030257; 1030061, 1030062, 1030257;default;grouped;base;pine tree;pine tree;pine tree;pine tree;pine tree;pine tree;shop/artificial flowers & plants/seasonal flowers & plants;house of seasons;to be determined;flocked; 103006101.jpg; 103006101.jpg; 103006101.jpg
dbom_500_215_12003105;1030253;1030253;default;grouped;base;pine tree;pine tree;pine tree;pine tree;pine tree;pine tree;shop/artificial flowers & plants/seasonal flowers & plants;house of seasons;to be determined;frosted; 103025301.jpg; 103025301.jpg; 103025301.jpg
debby_151_180_11003070;1041626;1041626;default;grouped;base;debby;debby;debby;debby;debby;debby;shop/home accessories/tableware;mica decorations;pot;transparent; 104162601.jpg; 104162601.jpg; 104162601.jpg
delp_519_10_12003090;1009076;1009076;default;grouped;base;delphinium;delphinium;delphinium;delphinium;delphinium;delphinium;shop/artificial flowers & plants/flowers & bouquets;mica decorations;others;white; 100907601.jpg; 100907601.jpg; 100907601.jpg
delp_519_90_12003090;1009077;1009077;default;grouped;base;delphinium;delphinium;delphinium;delphinium;delphinium;delphinium;shop/artificial flowers & plants/flowers & bouquets;mica decorations;others;blue; 100907701.jpg; 100907701.jpg; 100907701.jpg
dend_136_10_12003100;949847;949847;default;grouped;base;dendrobium;dendrobium;dendrobium;dendrobium;dendrobium;dendrobium;shop/artificial flowers & plants/plants;mica decorations;orchid;white; 94984701.jpg; 94984701.jpg; 94984701.jpg
denise_180_180_10003020; 1041909, 1041910, 1041911; 1041909, 1041910, 1041911;default;grouped;base;denise;denise;denise;denise;denise;denise;shop/pottery & glassware/glassware;mica decorations;vase;transparent; 104190901.jpg; 104190901.jpg; 104190901.jpg
denton_151_123_10003000;1022104;1022104;default;grouped;base;denton;denton;denton;denton;denton;denton;shop/pottery & glassware/indoor pottery;mica decorations;pot;taupe; 102210401.jpg; 102210401.jpg; 102210401.jpg
derb_500_80_15003200; 387182, 387184; 387182, 387184;default;grouped;base;derby;derby;derby;derby;derby;derby;shop/artificial christmas trees & wreaths/artificial christmas trees;black box trees;to be determined;green; 38718201.jpg; 38718201.jpg; 38718201.jpg
destiny_151_13_10003000; 1018929, 1018930, 1018931, 1018932, 1018933; 1018929, 1018930, 1018931, 1018932, 1018933;default;grouped;base;destiny;destiny;destiny;destiny;destiny;destiny;shop/pottery & glassware/indoor pottery;mica decorations;pot;off white; 101892901.jpg; 101892901.jpg; 101892901.jpg
destiny_151_70_10003000; 1018939, 1018940, 1018941, 1018942, 1018943; 1018939, 1018940, 1018941, 1018942, 1018943;default;grouped;base;destiny;destiny;destiny;destiny;destiny;destiny;shop/pottery & glassware/indoor pottery;mica decorations;pot;beige; 101893901.jpg; 101893901.jpg; 101893901.jpg
destiny_151_94_10003000;1018946;1018946;default;grouped;base;destiny;destiny;destiny;destiny;destiny;destiny;shop/pottery & glassware/indoor pottery;mica decorations;pot;petrol; 101894601.jpg; 101894601.jpg; 101894601.jpg
detroit_513_140_11003040; 1023512, 1023513; 1023512, 1023513;default;grouped;base;detroit;detroit;detroit;detroit;detroit;detroit;shop/home accessories/lamps & lighting;mica decorations;table lamp;silver; 102351201.jpg; 102351201.jpg; 102351201.jpg
detroit_513_160_11003040;1023515;1023515;default;grouped;base;detroit;detroit;detroit;detroit;detroit;detroit;shop/home accessories/lamps & lighting;mica decorations;table lamp;copper; 102351501.jpg; 102351501.jpg; 102351501.jpg
detroit_514_140_11003040;1023514;1023514;default;grouped;base;detroit;detroit;detroit;detroit;detroit;detroit;shop/home accessories/lamps & lighting;mica decorations;floor lamp;silver; 102351401.jpg; 102351401.jpg; 102351401.jpg
detroit_514_160_11003040;1023517;1023517;default;grouped;base;detroit;detroit;detroit;detroit;detroit;detroit;shop/home accessories/lamps & lighting;mica decorations;floor lamp;copper; 102351701.jpg; 102351701.jpg; 102351701.jpg
deva_500_10_11003030;1029730;1029730;default;grouped;base;deva;deva;deva;deva;deva;deva;shop/home accessories/room accents;casa vivante;to be determined;white; 102973001.jpg; 102973001.jpg; 102973001.jpg
deva_500_40_11003030; 1029731, 1038103; 1029731, 1038103;default;grouped;base;deva;deva;deva;deva;deva;deva;shop/home accessories/room accents;casa vivante;to be determined;red; 102973101.jpg; 102973101.jpg; 102973101.jpg
devo_189_160_11003030; 224647, 224648, 224649; 224647, 224648, 224649;default;grouped;base;devon;devon;devon;devon;devon;devon;shop/home accessories/room accents;mica decorations;hurricane light;copper; 22464701.jpg; 22464701.jpg; 22464701.jpg
devo_189_180_11003030; 224662, 224663, 224664; 224662, 224663, 224664;default;grouped;base;devon;devon;devon;devon;devon;devon;shop/home accessories/room accents;mica decorations;hurricane light;transparent; 22466201.jpg; 22466201.jpg; 22466201.jpg
devo_500_180_11003030; 1003718, 1003719, 1003720; 1003718, 1003719, 1003720;default;grouped;base;devon;devon;devon;devon;devon;devon;shop/home accessories/room accents;mica decorations;to be determined;transparent; 100371801.jpg; 100371801.jpg; 100371801.jpg
dhaka_500_10_10003020; 1039811, 1039815; 1039811, 1039815;default;grouped;base;dhaka;dhaka;dhaka;dhaka;dhaka;dhaka;shop/pottery & glassware/glassware;mica decorations;to be determined;white; 103981101.jpg; 103981101.jpg; 103981101.jpg
dhaka_500_130_10003020; 1039813, 1039817; 1039813, 1039817;default;grouped;base;dhaka;dhaka;dhaka;dhaka;dhaka;dhaka;shop/pottery & glassware/glassware;mica decorations;to be determined;gold; 103981301.jpg; 103981301.jpg; 103981301.jpg
dhaka_500_30_10003020; 1039812, 1039816; 1039812, 1039816;default;grouped;base;dhaka;dhaka;dhaka;dhaka;dhaka;dhaka;shop/pottery & glassware/glassware;mica decorations;to be determined;black; 103981201.jpg; 103981201.jpg; 103981201.jpg
dhaka_500_80_10003020;1039814;1039814;default;grouped;base;dhaka;dhaka;dhaka;dhaka;dhaka;dhaka;shop/pottery & glassware/glassware;mica decorations;to be determined;green; 103981401.jpg; 103981401.jpg; 103981401.jpg
dhaka_500_81_10003020;1039818;1039818;default;grouped;base;dhaka;dhaka;dhaka;dhaka;dhaka;dhaka;shop/pottery & glassware/glassware;mica decorations;to be determined;l.green; 103981801.jpg; 103981801.jpg; 103981801.jpg
diam_151_10_10003000; 117877, 117880; 117877, 117880;default;grouped;base;diamond;diamond;diamond;diamond;diamond;diamond;shop/pottery & glassware/indoor pottery;mica decorations;pot;white; 11787701.jpg; 11787701.jpg; 11787701.jpg
diam_163_10_10003000; 117878, 117881; 117878, 117881;default;grouped;base;diamond;diamond;diamond;diamond;diamond;diamond;shop/pottery & glassware/indoor pottery;mica decorations;bowl;white; 11787801.jpg; 11787801.jpg; 11787801.jpg
diam_180_10_10003000; 117879, 117882; 117879, 117882;default;grouped;base;diamond;diamond;diamond;diamond;diamond;diamond;shop/pottery & glassware/indoor pottery;mica decorations;vase;white; 11787901.jpg; 11787901.jpg; 11787901.jpg
diam_616_80_15003210; 387107, 387108; 387107, 387108;default;grouped;base;diamond;diamond;diamond;diamond;diamond;diamond;shop/artificial christmas trees & wreaths/artificial christmas wreaths & garlands;triumph tree;led;green; 38710701.jpg; 38710701.jpg; 38710701.jpg
diaz_500_91_11003050;1003538;1003538;default;grouped;base;diaz;diaz;diaz;diaz;diaz;diaz;shop/home accessories/small furniture;casa vivante;to be determined;l.blue; 100353801.jpg; 100353801.jpg; 100353801.jpg
diba_50_212_12003100;919806;919806;default;grouped;base;dieffenbachia;dieffenbachia;dieffenbachia;dieffenbachia;dieffenbachia;dieffenbachia;shop/artificial flowers & plants/plants;mica decorations;dieffenbachia;variegated; 91980601.jpg; 91980601.jpg; 91980601.jpg
diba_50_80_12003100; 1005402, 1011243, 1011244, 1026438, 933252, 935187; 1005402, 1011243, 1011244, 1026438, 933252, 935187;default;grouped;base;dieffenbachia;dieffenbachia;dieffenbachia;dieffenbachia;dieffenbachia;dieffenbachia;shop/artificial flowers & plants/plants;mica decorations;dieffenbachia;green; 100540201.jpg; 100540201.jpg; 100540201.jpg
dieg_500_54_10003020;1024006;1024006;default;grouped;base;diego;diego;diego;diego;diego;diego;shop/pottery & glassware/glassware;mica decorations;to be determined;terra; 102400601.jpg; 102400601.jpg; 102400601.jpg
dieg_500_80_10003020; 1024004, 1024005; 1024004, 1024005;default;grouped;base;diego;diego;diego;diego;diego;diego;shop/pottery & glassware/glassware;mica decorations;to be determined;green; 102400401.jpg; 102400401.jpg; 102400401.jpg
dieg_59_10_10003020; 1011077, 147716; 1011077, 147716;default;grouped;base;diego;diego;diego;diego;diego;diego;shop/pottery & glassware/glassware;mica decorations;bottle;white; 101107701.jpg; 101107701.jpg; 101107701.jpg
dieg_59_120_10003020; 1026997, 1026998, 1026999; 1026997, 1026998, 1026999;default;grouped;base;diego;diego;diego;diego;diego;diego;shop/pottery & glassware/glassware;mica decorations;bottle;brown; 102699701.jpg; 102699701.jpg; 102699701.jpg
dieg_59_180_10003020; 1011076, 147713, 147714; 1011076, 147713, 147714;default;grouped;base;diego;diego;diego;diego;diego;diego;shop/pottery & glassware/glassware;mica decorations;bottle;transparent; 101107601.jpg; 101107601.jpg; 101107601.jpg
dieg_59_20_10003020; 1041578, 1041579, 1041580; 1041578, 1041579, 1041580;default;grouped;base;diego;diego;diego;diego;diego;diego;shop/pottery & glassware/glassware;mica decorations;bottle;grey; 104157801.jpg; 104157801.jpg; 104157801.jpg
dieg_59_54_10003020; 1024007, 1024008; 1024007, 1024008;default;grouped;base;diego;diego;diego;diego;diego;diego;shop/pottery & glassware/glassware;mica decorations;bottle;terra; 102400701.jpg; 102400701.jpg; 102400701.jpg
dieg_59_55_10003020; 1018607, 1018608, 1036812; 1018607, 1018608, 1036812;default;grouped;base;diego;diego;diego;diego;diego;diego;shop/pottery & glassware/glassware;mica decorations;bottle;salmon; 101860701.jpg; 101860701.jpg; 101860701.jpg
dieg_59_80_10003020; 1024003, 1026993; 1024003, 1026993;default;grouped;base;diego;diego;diego;diego;diego;diego;shop/pottery & glassware/glassware;mica decorations;bottle;green; 102400301.jpg; 102400301.jpg; 102400301.jpg
dieg_59_90_10003020;1026990;1026990;default;grouped;base;diego;diego;diego;diego;diego;diego;shop/pottery & glassware/glassware;mica decorations;bottle;blue; 102699001.jpg; 102699001.jpg; 102699001.jpg
dieg_59_94_10003020; 1026980, 1026981; 1026980, 1026981;default;grouped;base;diego;diego;diego;diego;diego;diego;shop/pottery & glassware/glassware;mica decorations;bottle;petrol; 102698001.jpg; 102698001.jpg; 102698001.jpg
dimitri_151_20_10003000; 1043115, 1043117; 1043115, 1043117;default;grouped;base;dimitri;dimitri;dimitri;dimitri;dimitri;dimitri;shop/pottery & glassware/indoor pottery;mica decorations;pot;grey; 104311501.jpg; 104311501.jpg; 104311501.jpg
dimitri_151_80_10003000; 1043120, 1043121; 1043120, 1043121;default;grouped;base;dimitri;dimitri;dimitri;dimitri;dimitri;dimitri;shop/pottery & glassware/indoor pottery;mica decorations;pot;green; 104312001.jpg; 104312001.jpg; 104312001.jpg
dimitri_180_20_10003000;1043119;1043119;default;grouped;base;dimitri;dimitri;dimitri;dimitri;dimitri;dimitri;shop/pottery & glassware/indoor pottery;mica decorations;vase;grey; 104311901.jpg; 104311901.jpg; 104311901.jpg
dimitri_180_80_10003000;1043124;1043124;default;grouped;base;dimitri;dimitri;dimitri;dimitri;dimitri;dimitri;shop/pottery & glassware/indoor pottery;mica decorations;vase;green; 104312401.jpg; 104312401.jpg; 104312401.jpg
dimitri_59_20_10003000;1044282;1044282;default;grouped;base;dimitri;dimitri;dimitri;dimitri;dimitri;dimitri;shop/pottery & glassware/indoor pottery;mica decorations;bottle;grey; 104428201.jpg; 104428201.jpg; 104428201.jpg
dimitri_59_80_10003000;1044283;1044283;default;grouped;base;dimitri;dimitri;dimitri;dimitri;dimitri;dimitri;shop/pottery & glassware/indoor pottery;mica decorations;bottle;green; 104428301.jpg; 104428301.jpg; 104428301.jpg
