sku;super_products_sku;configurable_attributes;ed_search;attribute_set_code;type;name;meta_title;meta_description;description;short_description;categories;ed_type;image;small_image;thumbnail
500_1100_3060_2;1039039;ed_color,ed_size;1039039;default;configurable;to be determined;to be determined;to be determined;to be determined;to be determined;shop/home accessories/organization;to be determined; 103903901.jpg; 103903901.jpg; 103903901.jpg
500_1100_3070_1; 1039805, 1042337, 1020262, 1020263, 1024069, 1024452;ed_color,ed_size; 1039805, 1042337, 1020262, 1020263, 1024069, 1024452;default;configurable;to be determined;to be determined;to be determined;to be determined;to be determined;shop/home accessories/tableware;to be determined; 103980501.jpg; 103980501.jpg; 103980501.jpg
500_1100_3080_1; 1010915, 1040915, 1040918, 1038984, 1039751, 190406-01, 1001140, 1003098, 1003542, 1038988, 1001142, 1003101, 1008345, 1001144, 1003543, 1001147, 1037943, 1003231, 1037942, 1003099, 1003102, 1039306, 1039308, 1037946, 1036673, 1040917, 1038991, 1039307, 1039309, 1001143, 1001139, 1037941, 1040914, 1040913;ed_color,ed_size; 1010915, 1040915, 1040918, 1038984, 1039751, 190406-01, 1001140, 1003098, 1003542, 1038988, 1001142, 1003101, 1008345, 1001144, 1003543, 1001147, 1037943, 1003231, 1037942, 1003099, 1003102, 1039306, 1039308, 1037946, 1036673, 1040917, 1038991, 1039307, 1039309, 1001143, 1001139, 1037941, 1040914, 1040913;default;configurable;to be determined;to be determined;to be determined;to be determined;to be determined;shop/home accessories/home textiles;to be determined; 101091501.jpg; 101091501.jpg; 101091501.jpg
500_1100_3080_2; 1040916, 1003104;ed_color,ed_size; 1040916, 1003104;default;configurable;to be determined;to be determined;to be determined;to be determined;to be determined;shop/home accessories/home textiles;to be determined; 104091601.jpg; 104091601.jpg; 104091601.jpg
500_1100_3080_3;1040919;ed_color,ed_size;1040919;default;configurable;to be determined;to be determined;to be determined;to be determined;to be determined;shop/home accessories/home textiles;to be determined; 104091901.jpg; 104091901.jpg; 104091901.jpg
500_1300_3120_1; 1025381, 1041381, 1038861, 1038565, 1038622, 1041383, 1020790, 1041377, 1041374, 1038860, 1041375, 1020787, 1039714, 1038484, 1038485, 1038277, 1020534, 1038273, 1038251, 1038303, 1038598, 1043744, 1038715, 1038304, 1038567, 1038297, 1005028, 1038305, 1038614, 1041380, 1005033, 1025441, 1038266, 1015270, 1015281, 1025730, 172423-01, 1038859, 1038313, 1038317, 1038321, 1038312, 1038844, 1038307, 1038322, 1038858, 1038316, 1038752, 1038839, 1038663, 1038328, 1038325, 1038310, 1038751, 1038840, 1039726, 1038841, 1039724, 1015269, 1038662, 1038268, 1039725, 1038262, 1038848, 1024681, 1038843, 1015268, 1005089-01, 1005030, 1004849, 1004794, 1041371, 1041369, 1041372, 1038655, 1041370, 1015735, 1038281, 1038274, 1038637, 1038490, 1038491, 1038465, 1038712, 1038526, 1038540, 1038524, 1038600, 1038601, 1038602, 1038599, 1038513, 1043791, 1038512, 1043790, 1038669, 1041251, 1041240, 1025424, 1020793, 1025428, 1025422, 1025426, 1021922, 1020789, 1021923, 1020535, 1020791, 1020792, 1020531, 1024666, 1010580-01, 1024697, 1024698, 1024700, 1024696, 1025423, 1038449, 1025457, 1016535, 1016537, 1016536, 1038528, 1043815, 1025427, 1038534, 1025421, 1043817, 1043816, 1025425, 1043814, 1038502, 1043775, 1038644, 1038643, 1038459, 1038461, 1038455, 1038454, 1038295, 1038558, 1038784, 1038783, 1038557, 1025734, 1038785, 1038301, 1038324, 1038252, 1038331, 1038635, 1038289, 1038719, 1038311, 1025247, 1038302, 1038309, 1008040, 1041456, 1041241, 1038554, 1041249, 1038547, 1038550, 1041243, 1038546, 1038329, 1038549, 1038552, 1005035, 1038548, 1038551, 1038308, 1038849, 1038851, 1038853, 1005032, 1038343, 1043732;ed_color,ed_size; 1025381, 1041381, 1038861, 1038565, 1038622, 1041383, 1020790, 1041377, 1041374, 1038860, 1041375, 1020787, 1039714, 1038484, 1038485, 1038277, 1020534, 1038273, 1038251, 1038303, 1038598, 1043744, 1038715, 1038304, 1038567, 1038297, 1005028, 1038305, 1038614, 1041380, 1005033, 1025441, 1038266, 1015270, 1015281, 1025730, 172423-01, 1038859, 1038313, 1038317, 1038321, 1038312, 1038844, 1038307, 1038322, 1038858, 1038316, 1038752, 1038839, 1038663, 1038328, 1038325, 1038310, 1038751, 1038840, 1039726, 1038841, 1039724, 1015269, 1038662, 1038268, 1039725, 1038262, 1038848, 1024681, 1038843, 1015268, 1005089-01, 1005030, 1004849, 1004794, 1041371, 1041369, 1041372, 1038655, 1041370, 1015735, 1038281, 1038274, 1038637, 1038490, 1038491, 1038465, 1038712, 1038526, 1038540, 1038524, 1038600, 1038601, 1038602, 1038599, 1038513, 1043791, 1038512, 1043790, 1038669, 1041251, 1041240, 1025424, 1020793, 1025428, 1025422, 1025426, 1021922, 1020789, 1021923, 1020535, 1020791, 1020792, 1020531, 1024666, 1010580-01, 1024697, 1024698, 1024700, 1024696, 1025423, 1038449, 1025457, 1016535, 1016537, 1016536, 1038528, 1043815, 1025427, 1038534, 1025421, 1043817, 1043816, 1025425, 1043814, 1038502, 1043775, 1038644, 1038643, 1038459, 1038461, 1038455, 1038454, 1038295, 1038558, 1038784, 1038783, 1038557, 1025734, 1038785, 1038301, 1038324, 1038252, 1038331, 1038635, 1038289, 1038719, 1038311, 1025247, 1038302, 1038309, 1008040, 1041456, 1041241, 1038554, 1041249, 1038547, 1038550, 1041243, 1038546, 1038329, 1038549, 1038552, 1005035, 1038548, 1038551, 1038308, 1038849, 1038851, 1038853, 1005032, 1038343, 1043732;default;configurable;to be determined;to be determined;to be determined;to be determined;to be determined;shop/spring & outdoor decoration/spring summer figurines;to be determined; 102538101.jpg; 102538101.jpg; 102538101.jpg
500_1300_3120_2; 1024693, 1038847, 1038450, 1041248;ed_color,ed_size; 1024693, 1038847, 1038450, 1041248;default;configurable;to be determined;to be determined;to be determined;to be determined;to be determined;shop/spring & outdoor decoration/spring summer figurines;to be determined; 102469301.jpg; 102469301.jpg; 102469301.jpg
500_1300_3120_3; 1024694, 1024695;ed_color,ed_size; 1024694, 1024695;default;configurable;to be determined;to be determined;to be determined;to be determined;to be determined;shop/spring & outdoor decoration/spring summer figurines;to be determined; 102469401.jpg; 102469401.jpg; 102469401.jpg
500_1300_3130_1; 1038746, 1038805, 1038487, 1041473, 1038804, 1038778, 1038833, 1038518, 1009905, 1039279, 1004317, 1043773, 1004051-01, 1015709, 1020057, 1038745, 1009704-01, 1038477, 1015562, 1044129, 1024707, 1038475, 1039276, 1039029, 1039820, 1023218, 1038731, 1038240, 1043809, 1009835-01, 1038817, 1038250, 1038230, 1038794, 1038831, 1024658, 1038814, 1038795, 1038237, 1038797, 1038497, 1038730, 1038753, 1024544, 1032656, 1041434, 1038517, 1041435, 1038520, 1043786, 1032655, 172429, 1038738, 1038190, 1037957, 1037954, 1041430, 1038593, 1038666, 1025245, 1038829, 1038607, 1038591, 1043766, 1038755, 1038260, 1038229, 1038815, 1038836, 1038231, 1038507, 1043801, 1039565, 1009706-01, 1004304, 1043755, 1043756, 1039570, 1001047, 1039566, 1025488, 1038697, 1038536, 1038827, 1038828, 1038699, 1038818, 1038592, 1023221, 1007547, 1024661, 1025442, 1020017, 1038705, 1043824, 1043823, 1024648, 1038822, 1038713, 1032661, 1038670, 1032660, 1040959, 1040967, 1040966, 1040958, 1020030, 1038782, 1040961, 1040965, 1040956, 1036405, 1036406, 1025420, 1039233, 1039244, 1043802, 1043795, 1043784, 1039864, 1008020, 1030547, 1025419, 1037955, 1037952, 1039456, 1039457, 1038340, 1044083, 1038695, 1038698, 1044009, 1039819, 1020404, 1010036, 1010037, 1038667, 1038777, 1038780, 1038776, 1038770, 1043777, 1038696, 1009733-01, 1038700, 1001049, 1025504, 1038826, 1039862, 1038519, 1000858, 1043761, 1008065, 1001052, 1038749, 1038834, 1038835, 1038735, 1038709, 1043807, 1043808, 1043810, 1043770, 1039863, 1039273, 1020058, 1008063, 1044008, 1038747, 1025698, 1038595, 1038531, 1004327, 1001050, 1023449, 1039474, 1023444, 1037953, 1009906, 1009707-01, 1032666, 1032665, 1043818, 1039049, 1039052;ed_color,ed_size; 1038746, 1038805, 1038487, 1041473, 1038804, 1038778, 1038833, 1038518, 1009905, 1039279, 1004317, 1043773, 1004051-01, 1015709, 1020057, 1038745, 1009704-01, 1038477, 1015562, 1044129, 1024707, 1038475, 1039276, 1039029, 1039820, 1023218, 1038731, 1038240, 1043809, 1009835-01, 1038817, 1038250, 1038230, 1038794, 1038831, 1024658, 1038814, 1038795, 1038237, 1038797, 1038497, 1038730, 1038753, 1024544, 1032656, 1041434, 1038517, 1041435, 1038520, 1043786, 1032655, 172429, 1038738, 1038190, 1037957, 1037954, 1041430, 1038593, 1038666, 1025245, 1038829, 1038607, 1038591, 1043766, 1038755, 1038260, 1038229, 1038815, 1038836, 1038231, 1038507, 1043801, 1039565, 1009706-01, 1004304, 1043755, 1043756, 1039570, 1001047, 1039566, 1025488, 1038697, 1038536, 1038827, 1038828, 1038699, 1038818, 1038592, 1023221, 1007547, 1024661, 1025442, 1020017, 1038705, 1043824, 1043823, 1024648, 1038822, 1038713, 1032661, 1038670, 1032660, 1040959, 1040967, 1040966, 1040958, 1020030, 1038782, 1040961, 1040965, 1040956, 1036405, 1036406, 1025420, 1039233, 1039244, 1043802, 1043795, 1043784, 1039864, 1008020, 1030547, 1025419, 1037955, 1037952, 1039456, 1039457, 1038340, 1044083, 1038695, 1038698, 1044009, 1039819, 1020404, 1010036, 1010037, 1038667, 1038777, 1038780, 1038776, 1038770, 1043777, 1038696, 1009733-01, 1038700, 1001049, 1025504, 1038826, 1039862, 1038519, 1000858, 1043761, 1008065, 1001052, 1038749, 1038834, 1038835, 1038735, 1038709, 1043807, 1043808, 1043810, 1043770, 1039863, 1039273, 1020058, 1008063, 1044008, 1038747, 1025698, 1038595, 1038531, 1004327, 1001050, 1023449, 1039474, 1023444, 1037953, 1009906, 1009707-01, 1032666, 1032665, 1043818, 1039049, 1039052;default;configurable;to be determined;to be determined;to be determined;to be determined;to be determined;shop/spring & outdoor decoration/spring summer accessories;to be determined; 103874601.jpg; 103874601.jpg; 103874601.jpg
500_1300_3130_2; 1001051, 1037963, 1040957;ed_color,ed_size; 1001051, 1037963, 1040957;default;configurable;to be determined;to be determined;to be determined;to be determined;to be determined;shop/spring & outdoor decoration/spring summer accessories;to be determined; 100105101.jpg; 100105101.jpg; 100105101.jpg
